song,token_length,loss,category
1234809_just-a-last-hope_short30_preview_cut14s,tk5,3.369843,Shuffled
1234809_just-a-last-hope_short30_preview_cut14s,tk10,3.32059,Shuffled
1234809_just-a-last-hope_short30_preview_cut14s,tk50,3.313536,Shuffled
1234809_just-a-last-hope_short30_preview_cut14s,tk100,3.237653,Shuffled
1234809_just-a-last-hope_short30_preview_cut14s,tk150,3.267229,Shuffled
1234809_just-a-last-hope_short30_preview_cut14s,tk200,3.248583,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk5,6.851258,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk10,6.771719,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk50,6.681097,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk100,6.704648,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk150,6.642224,Shuffled
1236170_with-the-greatest-will_short30_preview_cut14s,tk200,6.634384,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk5,6.372016,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk10,6.245961,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk50,6.211843,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk100,6.143441,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk150,6.113662,Shuffled
1242936_the-drive-for-resolution_short30_preview_cut14s,tk200,6.127288,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk5,4.885127,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk10,4.785625,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk50,4.452911,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk100,4.382047,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk150,4.297701,Shuffled
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,tk200,4.317283,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk5,4.946652,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk10,4.814366,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk50,4.69216,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk100,4.61317,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk150,4.555832,Shuffled
1251571_a-long-night_short30_preview_cut14s,tk200,4.562711,Shuffled
1253054_revolution_short30_preview_cut14s,tk5,5.805532,Shuffled
1253054_revolution_short30_preview_cut14s,tk10,5.769304,Shuffled
1253054_revolution_short30_preview_cut14s,tk50,5.585381,Shuffled
1253054_revolution_short30_preview_cut14s,tk100,5.549702,Shuffled
1253054_revolution_short30_preview_cut14s,tk150,5.547259,Shuffled
1253054_revolution_short30_preview_cut14s,tk200,5.52784,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk5,6.516061,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk10,6.393045,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk50,6.258242,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk100,6.218143,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk150,6.229115,Shuffled
1256122_one-last-time_short30_preview_cut14s,tk200,6.193465,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk5,6.800846,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk10,6.78104,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk50,6.666166,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk100,6.608379,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk150,6.489849,Shuffled
1256250_shouting-it-out_short30_preview_cut14s,tk200,6.58214,Shuffled
433499_fashionable_short30_preview_cut14s,tk5,6.245069,Shuffled
433499_fashionable_short30_preview_cut14s,tk10,6.061327,Shuffled
433499_fashionable_short30_preview_cut14s,tk50,5.796154,Shuffled
433499_fashionable_short30_preview_cut14s,tk100,5.732014,Shuffled
433499_fashionable_short30_preview_cut14s,tk150,5.771632,Shuffled
433499_fashionable_short30_preview_cut14s,tk200,5.752279,Shuffled
438704_nice-walk_short30_preview_cut14s,tk5,5.908366,Shuffled
438704_nice-walk_short30_preview_cut14s,tk10,5.793364,Shuffled
438704_nice-walk_short30_preview_cut14s,tk50,5.543398,Shuffled
438704_nice-walk_short30_preview_cut14s,tk100,5.476436,Shuffled
438704_nice-walk_short30_preview_cut14s,tk150,5.443053,Shuffled
438704_nice-walk_short30_preview_cut14s,tk200,5.416269,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk5,5.132348,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk10,4.773204,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk50,4.515444,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk100,4.50468,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk150,4.42485,Shuffled
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,tk200,4.444281,Shuffled
